store_num,department_num
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,40
1,41
1,42
1,44
1,45
1,46
1,47
1,48
1,49
1,51
1,52
1,54
1,55
1,56
1,58
1,59
1,60
1,67
1,71
1,72
1,74
1,77
1,78
1,79
1,80
1,81
1,82
1,83
1,85
1,87
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,99
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,38
2,39
2,40
2,41
2,42
2,44
2,45
2,46
2,47
2,48
2,49
2,51
2,52
2,54
2,55
2,56
2,58
2,59
2,60
2,67
2,71
2,72
2,74
2,77
2,78
2,79
2,80
2,81
2,82
2,83
2,85
2,87
2,90
2,91
2,92
2,93
2,94
2,95
2,96
2,97
2,98
2,99
4,1
4,2
4,3
4,4
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,13
4,14
4,16
4,17
4,18
4,19
4,20
4,21
4,22
4,23
4,24
4,25
4,26
4,27
4,28
4,29
4,30
4,31
4,32
4,33
4,34
4,35
4,36
4,37
4,38
4,39
4,40
4,41
4,42
4,44
4,45
4,46
4,47
4,48
4,49
4,51
4,52
4,54
4,55
4,56
4,58
4,59
4,60
4,67
4,71
4,72
4,74
4,77
4,78
4,79
4,80
4,81
4,82
4,83
4,85
4,87
4,90
4,91
4,92
4,93
4,94
4,95
4,96
4,97
4,98
4,99
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,16
6,17
6,18
6,19
6,20
6,21
6,22
6,23
6,24
6,25
6,26
6,27
6,28
6,29
6,30
6,31
6,32
6,33
6,34
6,35
6,36
6,37
6,38
6,40
6,41
6,42
6,44
6,45
6,46
6,47
6,48
6,49
6,51
6,52
6,54
6,55
6,56
6,58
6,59
6,60
6,67
6,71
6,72
6,74
6,77
6,78
6,79
6,80
6,81
6,82
6,83
6,85
6,87
6,90
6,91
6,92
6,93
6,94
6,95
6,96
6,97
6,98
6,99
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,10
10,11
10,12
10,13
10,14
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,40
10,41
10,42
10,44
10,45
10,46
10,47
10,48
10,49
10,50
10,51
10,52
10,54
10,55
10,56
10,58
10,59
10,60
10,67
10,71
10,72
10,74
10,77
10,78
10,79
10,80
10,81
10,82
10,83
10,85
10,87
10,90
10,91
10,92
10,93
10,94
10,95
10,96
10,97
10,98
13,1
13,2
13,3
13,4
13,5
13,6
13,7
13,8
13,9
13,10
13,11
13,12
13,13
13,14
13,16
13,17
13,18
13,19
13,20
13,21
13,22
13,23
13,24
13,25
13,26
13,27
13,28
13,29
13,30
13,31
13,32
13,33
13,34
13,35
13,36
13,37
13,38
13,40
13,41
13,42
13,43
13,44
13,45
13,46
13,47
13,48
13,49
13,50
13,51
13,52
13,54
13,55
13,56
13,58
13,59
13,60
13,67
13,71
13,72
13,74
13,77
13,78
13,79
13,80
13,81
13,82
13,83
13,85
13,87
13,90
13,91
13,92
13,93
13,94
13,95
13,96
13,97
13,98
13,99
14,1
14,2
14,3
14,4
14,5
14,6
14,7
14,8
14,9
14,10
14,11
14,12
14,13
14,14
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,32
14,33
14,34
14,35
14,36
14,38
14,40
14,41
14,42
14,43
14,44
14,45
14,46
14,47
14,49
14,50
14,51
14,52
14,54
14,55
14,56
14,58
14,59
14,60
14,67
14,71
14,72
14,74
14,77
14,78
14,79
14,80
14,81
14,82
14,83
14,85
14,87
14,90
14,91
14,92
14,93
14,94
14,95
14,96
14,97
14,98
14,99
19,1
19,2
19,3
19,4
19,5
19,6
19,7
19,8
19,9
19,10
19,11
19,12
19,13
19,14
19,16
19,17
19,18
19,19
19,20
19,21
19,22
19,23
19,24
19,25
19,26
19,27
19,28
19,29
19,30
19,31
19,32
19,33
19,34
19,35
19,36
19,37
19,38
19,39
19,40
19,41
19,42
19,44
19,45
19,46
19,47
19,48
19,49
19,50
19,51
19,52
19,54
19,55
19,56
19,58
19,59
19,60
19,67
19,71
19,72
19,74
19,77
19,78
19,79
19,80
19,81
19,82
19,83
19,85
19,87
19,90
19,91
19,92
19,93
19,94
19,95
19,96
19,97
19,98
19,99
20,1
20,2
20,3
20,4
20,5
20,6
20,7
20,8
20,9
20,10
20,11
20,12
20,13
20,14
20,16
20,17
20,18
20,19
20,20
20,21
20,22
20,23
20,24
20,25
20,26
20,27
20,28
20,29
20,30
20,31
20,32
20,33
20,34
20,35
20,36
20,37
20,38
20,40
20,41
20,42
20,44
20,45
20,46
20,47
20,48
20,49
20,50
20,51
20,52
20,54
20,55
20,56
20,58
20,59
20,60
20,67
20,71
20,72
20,74
20,77
20,78
20,79
20,80
20,81
20,82
20,83
20,85
20,87
20,90
20,91
20,92
20,93
20,94
20,95
20,96
20,97
20,98
20,99
27,1
27,2
27,3
27,4
27,5
27,6
27,7
27,8
27,9
27,10
27,11
27,12
27,13
27,14
27,16
27,17
27,18
27,19
27,20
27,21
27,22
27,23
27,24
27,25
27,26
27,27
27,28
27,29
27,30
27,31
27,32
27,33
27,34
27,35
27,36
27,37
27,38
27,39
27,40
27,41
27,42
27,44
27,45
27,46
27,47
27,49
27,50
27,51
27,52
27,54
27,55
27,56
27,58
27,59
27,60
27,67
27,71
27,72
27,74
27,77
27,78
27,79
27,80
27,81
27,82
27,83
27,85
27,87
27,90
27,91
27,92
27,93
27,94
27,95
27,96
27,97
27,98
27,99
31,1
31,2
31,3
31,4
31,5
31,6
31,7
31,8
31,9
31,10
31,11
31,12
31,13
31,14
31,16
31,17
31,18
31,19
31,20
31,21
31,22
31,23
31,24
31,25
31,26
31,27
31,28
31,29
31,30
31,31
31,32
31,33
31,34
31,35
31,36
31,37
31,38
31,40
31,41
31,42
31,44
31,45
31,46
31,47
31,49
31,51
31,52
31,54
31,55
31,56
31,58
31,59
31,60
31,67
31,71
31,72
31,74
31,77
31,78
31,79
31,80
31,81
31,82
31,83
31,85
31,87
31,90
31,91
31,92
31,93
31,94
31,95
31,96
31,97
31,98
31,99
39,1
39,2
39,3
39,4
39,5
39,6
39,7
39,8
39,9
39,10
39,11
39,12
39,13
39,14
39,16
39,17
39,18
39,19
39,20
39,21
39,22
39,23
39,24
39,25
39,26
39,27
39,28
39,29
39,30
39,31
39,32
39,33
39,34
39,35
39,36
39,38
39,40
39,41
39,42
39,44
39,45
39,46
39,47
39,49
39,51
39,52
39,54
39,55
39,56
39,58
39,59
39,60
39,67
39,71
39,72
39,74
39,77
39,78
39,79
39,80
39,81
39,82
39,83
39,85
39,87
39,90
39,91
39,92
39,93
39,94
39,95
39,96
39,97
39,98
39,99
